,Astro,EN_L2_3_IT,EN_L3_5_IT_1,EN_L3_5_IT_2,EN_L3_5_IT_3,EN_L5_6_NP,EN_L5_ET,EN_L6B,EN_L6_CT,EN_L6_IT_1,EN_L6_IT_2,EN_NF,Endo,IN_ADARB2,IN_LAMP5_LHX6,IN_LAMP5_RELN,IN_PVALB,IN_PVALB_CHC,IN_SST,IN_VIP,Immune,Micro,OPC,Oligo,PC,PVM,SMC,VLMC
M153,0.08774497128539421,-0.004125887050043092,0.009023202756065638,0.0029357136663322246,0.004395471336468841,0.005154519690234013,0.02493454924022859,0.006211020513914237,0.014159163303676723,0.004058661635445902,0.008510402784617685,0.03156116579929971,0.017431128381874696,0.017549745614417408,0.021476996379994017,0.012676659694206161,0.015893453968579184,0.018802035635703467,0.024302378060575103,0.021422144193418514,0.0036502802895005005,0.07206273794923988,-0.027377174644154137,-0.07180605816336998,0.01554646126342711,-0.0028504642465486457,0.0018384888965528462,0.004000731764949225
M439,-0.08327384546201545,-0.015083631214923197,-0.005627519620305663,0.0035518601539231342,0.0045313359636316095,-0.009127251361492205,-0.009103013184692295,-0.0031226901150983918,-0.004990185365977851,-0.004218914350489289,-0.016573919473779716,-0.0019479153865247128,-0.04636428447723866,-0.03569278520313007,-0.01317793116516948,-0.009483029971281354,-0.001656701092069888,-0.017884382052609223,-0.0569513064493316,-0.03822201564090786,-0.0016684092435395046,-0.017653245765808775,0.009756969098201467,0.010012303163501308,0.0002814199761271487,-0.015415149632524647,-0.018094120616363174,-0.0025191415101116564
M1198,0.07526426682393603,0.029934155641382344,0.007943966716946397,0.0035939781174172997,0.012615282620229562,0.0017031308468912795,0.0018962438807019319,0.004695457538449558,0.0017141637463679526,-0.001482345297799298,0.009725045920564812,-0.0007027971830225768,0.01619468767437584,0.018387477509141683,0.020204463557354,0.0066181248265288,0.01566239247199789,0.005313730796981976,-0.017751134342613405,0.019279948073231867,-0.0008354869654804843,0.05527858894926354,0.030171900450366603,0.012472967350288956,0.01795345917363195,0.002241488034180939,0.01231693543717822,-0.003427592368493637
M1712,0.11742486515701818,-0.016152163568430838,0.004269548096241008,0.0013869814687696444,-0.006370410985058666,-0.002901536228256025,0.013008105051653934,0.0013674411957186013,-0.0010523084855537216,0.003351894828434074,0.003858459782012564,0.015820418210499197,0.007292186518828572,0.020050599133960935,0.01528542984343913,0.005004885855095332,0.006628007999854317,0.008842267813543027,0.021188403664674352,0.016007414803925403,0.0017533291427868614,0.006571715865894247,0.04743898081043131,0.08199237622526255,0.00385482539481275,0.014600591481650754,0.008667707220660226,0.008592483702132322
M1746,0.06375622212438757,-0.02428676682985219,-0.007509460570025027,-0.015171847641996758,-0.02399142236023106,-0.0066445998934596615,-0.023685852023925928,-0.011791675691472643,-0.009221870050972386,-0.011572384817659818,-0.016161443229490993,-0.0037589643392978685,0.0029232827458217313,-0.0007038230980926018,-0.031045381090540024,-0.015228749580890013,-0.01806575907449335,-0.00959538044545744,-0.007690676342801964,-0.004090305311567727,0.004392490024993283,-0.0025209036111150233,-0.04680617941157536,0.02000123742788583,-0.0298879788153796,0.00012459755594562816,0.0019844239944571333,-0.014468329643193667
M1943,0.1767978167614195,-0.005789591104921439,0.011154858294763117,0.006093264449763654,-0.0075235507773302075,0.012846724361657649,-0.003265835962812685,0.009104091820768661,-0.0002989634300566864,0.020089558071168523,0.017901830992889393,-0.0012315837617000707,0.021705756406377525,0.014339043445978875,0.017986346393939756,0.008781378276613717,0.017922222289200446,0.0003261108383019065,-0.006270948333593468,-0.008988693005333533,0.0025744383910618037,0.004202751509452939,-0.005752918258883958,0.01248552135736052,0.016695525221970032,0.0031213785446826464,0.0070295631886962825,0.004646404018565121
M2772,-0.189174419478079,-0.0015870533454345837,-0.009462849649501982,-0.0022314894773829814,-0.0004041289018373313,-0.012947340414017546,-0.0023112675928193957,-0.004128475918443494,-0.010302972252669584,-0.008357656573236734,-0.02360362053119798,-0.0008786786567590815,0.002149958774519193,0.004431179178932691,-0.01675407160792719,-0.011674523007363243,-0.013824286843468219,0.006548088990224622,-0.00022330830437311205,0.002053524174547752,-0.007884330583293476,-0.03289521398725076,0.03673815536701949,-0.042543482890999414,0.0007604511212483675,-0.017480189175648163,0.005701576595689456,-0.0064310750104782455
M3038,-0.12097537554079447,-0.019217635498732608,-0.007086686321949104,-0.003320495567120062,-0.0017781801142938312,0.008031239286378502,-0.00804201203375187,-0.008252891947648815,-0.008853129031101518,-0.008647915594489956,0.0006871308933952159,-0.0033342265171062875,-0.01560353955463347,-0.04205256067203766,0.009056518307550885,-0.005948934606833278,-0.013698171954072292,-0.019344909954096965,-0.042243512722357844,-0.0301524290348439,0.014683012475210795,-0.01254087862396447,-0.04121716578369033,-0.062142610281065984,-0.004528031222128995,-0.006405923194784855,-0.006146143847725241,-0.005842041343311608
M3319,-0.023530550847727098,0.026447802121565157,0.012838172877311725,0.004967580442951364,-0.006494573194106024,0.007073541216570555,0.036670436849976326,0.002540894201638159,-0.0025547993138738297,0.0030042241135803415,0.007002466460026247,-0.0006782022387739939,0.014695546852134462,0.025068100416667405,0.009250298262617754,0.004587770717555757,0.015585153487679223,0.01818782819069523,-0.0023494963041291064,0.016753957948740874,0.03869609506603747,-0.0028117712048958445,0.0365592970608619,0.006456388980824797,0.018079997938564542,0.016186437494867874,0.016076066376487654,0.005873836026151105
M3566,0.02916399432787363,0.024345672017626056,-0.008198157132808952,0.003757817461313904,0.012970036393662263,-0.006697895861883503,0.0016981657715289852,-0.000559515020106658,0.0010294471686579777,0.002258745478872158,0.0037353661257239464,-0.00043437670572872046,0.0097308959396326,0.0180736859634623,-0.009818989813244118,0.0018331135199603857,-0.00018072956248308417,0.0017656484215729821,0.03327124089978492,0.010191849374066314,0.014290178874309287,0.03646162065398292,0.01533588467122349,-0.02269854683213117,0.01609040375352168,-0.016914691564736517,-0.0046411595720817714,-0.020777204751571302
