,Astro_ADAMTSL3,Astro_GRIA1,Astro_PLSCR1,Astro_WIF1,EN_L2_3_IT_NTNG1,EN_L2_3_IT_PDGFD,EN_L3_5_IT_1_CUX2,EN_L3_5_IT_1_PLSCR4,EN_L3_5_IT_2_DACH1,EN_L3_5_IT_2_HSPA1A,EN_L3_5_IT_2_MET,EN_L3_5_IT_3,EN_L3_5_IT_3_HSPA1A,EN_L5_6_NP,EN_L5_ET,EN_L6B,EN_L6_CT,EN_L6_CT_HSPA1A,EN_L6_IT_1,EN_L6_IT_1_HSPA1A,EN_L6_IT_2,EN_L6_IT_2_HSPA1A,EN_NF,Endo_IL1R1,Endo_ITIH5,Endo_PCSK5,IN_ADARB2_COL12A1,IN_ADARB2_RAB37,IN_ADARB2_SV2C,IN_ADARB2_SYT10,IN_LAMP5_LHX6,IN_LAMP5_LHX6_HSPA1A,IN_LAMP5_RELN,IN_LAMP5_RELN_HSPA1A,IN_PVALB_ANOS1,IN_PVALB_CHC,IN_PVALB_CHRM2,IN_PVALB_HSPA1A,IN_PVALB_STUM,IN_SST_EDNRA,IN_SST_EYA4,IN_SST_MAML3,IN_SST_NPY,IN_SST_PRR16,IN_VIP_BCL11B,IN_VIP_SCML4,IN_VIP_TRPC6,Immune_B,Immune_NK,Immune_PVM,Immune_Plasma,Immune_T,Micro,OPC,OPC_CHRM3,OPC_GPR17,OPC_HAP1,Oligo_OPALIN,Oligo_RBFOX1,PC_ADAMTS4,PC_STAC,PVM,SMC_MYOCD,SMC_NRP1,VLMC_ABCA6,VLMC_DCDC2,VLMC_SLC4A4
M153,0.031601450625284876,-0.03823991016364525,0.020970511111575378,0.0006118030716271128,0.0007098327167815475,-0.007285014611316694,0.002495757260725992,0.0036797850033569975,0.004914095880296043,-0.00013043849822975967,0.0003242093891520288,0.00043239054556654403,-0.00014555466997947904,0.0032310561802359732,0.023118293652183715,0.00318048563847093,0.005020684490380912,0.0002479722879956565,0.004996397147021457,3.2959703669631236e-06,0.006449624114941447,-4.892765050034955e-05,0.038691114381748104,0.015651459085852394,0.008102790205695773,0.0004608700780864375,0.004204672985506349,0.0027931668718236113,0.006692032106844247,0.005309615543472372,0.007341074369919558,-0.00020894380412143584,0.005394706892030738,0.00010801523532347311,-0.00022167152884158977,0.015075865134091204,0.005603570312354632,7.784828349907822e-05,6.116368369819423e-05,0.02101250366910296,0.0020840763880840395,0.00715230931161146,-0.0005762901450060279,0.005700970625257287,0.0028296326360157365,0.0028372235721461957,0.014072616046657467,-8.021178803613322e-05,0.002252370514624705,0.0003196987338409326,9.502521865797339e-05,0.0006132706902755334,0.06766821935511323,-0.0028838146180787316,0.0011102740173964468,0.0012823116981408394,-0.004609058082378348,-0.046622305494433434,-0.005151739792654098,0.009052365544648137,0.0006106330132057206,-0.0015762775960501017,0.0019097530488586952,0.000987117309866619,0.0070908472786329006,-0.005399640077025687,0.002325469592250527
M439,-0.03257416318778715,-0.0734780031284398,-0.028141295311405846,-0.016086575954772125,0.0010991656409743145,-0.019143088573232946,-0.0015792882492261092,-0.00043249066536484623,-0.001088910275240022,-9.039321178066396e-05,0.004792621594923942,0.0044511498658717985,-0.00017718178612276378,-0.0016283220136123486,-0.003942346422666754,0.00041438306232031264,0.0014223658965224074,-4.526642149183893e-05,-0.003115994615973383,-0.00015392850266904293,-0.0069819743022782755,-0.00011944914639525687,-0.0014620524597272729,-0.029931270833302503,-0.005256730401159492,-0.0011724255319740362,-0.011960539230497962,0.00202711645077829,-0.013698556645731335,-0.018616396000689147,-0.004482790964751212,-0.0006792826884420976,-0.004831350442938142,2.9271078186454572e-05,-0.003703716157383889,-0.014884166297681543,0.0012485866092606665,-0.00018403857430687517,-4.750417234208534e-05,-0.001207079055060898,-0.008671212476054053,-0.002980671347443409,-0.003745085873261494,-0.0014575895722285783,-0.003926703462485404,0.0001639098169193814,-0.029144931340729475,-0.00043694613238647343,0.015170833193821282,-0.00022402664414272963,6.347064219122771e-05,-0.004904003879834959,-0.013959730267728414,0.004480766114899038,-0.0013691417847925954,-0.008043614576815664,-0.0016951758689670643,0.005798445813753507,0.01276190306739308,0.001749004434128397,-0.0017995101789988375,-0.008307785567532863,-0.00044672452291607894,-0.006737141455289627,-0.001559553123647412,-0.011397947502601846,-0.008586426479639449
M1198,-0.027114497191453465,0.042945663192751796,0.004227181757914431,0.06506182305028665,-0.0011242747770744503,0.03383159836694906,0.004305525949026565,0.002761198996532531,0.003649010133658552,-6.543765997555324e-05,1.6437758751442273e-05,0.008244230902869815,-9.543025078885852e-05,0.000981258915849617,0.0005981794822803802,-0.0005303265114295448,0.0010217027925166087,0.0005046552532322564,0.0008307418050880436,0.00015885849527349206,0.003835242975882964,0.0001623364631296427,-0.000574611498526842,0.014472572546266459,0.005475487614328106,-0.00012767012981759355,0.0032392121002237295,0.013621731581402343,0.0053078096477307815,0.01020684240606599,0.005519291891913723,9.842954497857797e-05,0.007201069173867498,0.00031281500917616474,0.007775378373495904,0.007462852793418424,0.004250823687401497,9.5875720831599e-05,0.000204972803065032,-0.0034883815868183682,0.011631478066359452,0.004981206673376358,-0.0002862070974194253,6.404518983724842e-05,0.0009529526706652714,0.007780064387509293,0.01646065908362111,0.0003305682767751029,0.0007279153648289899,0.00048752625710886995,0.00020381238029248082,-0.000757134556843678,0.04143863293812489,0.01663023532303717,0.001565178121028761,0.010811631990847947,0.003848259530292995,0.017749390473650584,-0.007853749560751952,0.005778256920192313,0.010811761148713104,0.0020973833241336114,0.0037755700762764823,0.002177563517183038,0.0058422946002305454,0.01165462165291711,-0.005481598332262607
M1712,0.04463845064747317,0.013940728156617763,0.030667304997932857,0.001672039201972044,0.0011471745205777293,-0.013383300578195496,0.0030199156701566907,-0.0002604676070088905,4.80455120160534e-05,-6.325101993935813e-05,-0.0019829240126489735,-0.005833266472238792,-8.084475710192934e-05,0.0011670658228401496,0.010012653739121729,0.0005397136741202562,0.0017643322531081971,0.0005386365525399638,0.0014547951619444952,0.0002611059317809801,0.0022651621166505684,0.0001564367902451793,0.015873953289935076,0.008906100606391234,-0.008309420339170313,0.0013357701565794545,0.007198936889456152,0.011856636591667817,0.009468460672977182,0.0071566387558984505,0.00432418043692735,0.0001255072298539441,0.006061514429306362,0.0003778216944731807,0.006249944782116475,0.004891931267977407,0.005551856593513003,0.00012049169783115643,0.00013965852032018413,0.015605827228516656,0.007331761418643933,0.005181951968368574,-0.0005488344078348936,0.005280400930361433,0.009383360413745788,-0.00016271807204018828,0.012652911885355651,0.00015213557213384556,0.0020409852216294612,0.0005291068414688948,0.00021134756666584743,0.005603147141899023,0.0036399731229421607,0.011440103053787488,0.003413801827915236,0.0016092859609566042,0.010749337278767375,0.05716652776972036,0.021312545988422832,0.0001457090566168191,0.014173794857113991,0.006623639599686121,0.00546847892457927,0.001751716040532636,0.005652773285809637,0.013710219214031429,0.0029437207321855057
M1746,0.005930856405806545,0.018103253844702624,-0.002536378083477405,0.025496063875136383,-0.008505588162332649,-0.020777287640851707,-0.002631376687425851,-0.009949426117020366,-0.0050393676307104954,-0.00010013705651112242,-0.0064093493291435735,-0.014686395258438834,-9.074663643116123e-05,-0.004223190250173746,-0.012118776747405156,-0.007011475590089817,-0.00500191196547568,0.00014105528195729113,-0.0038331666131678614,-9.939538873093367e-05,-0.00850731998499078,1.4222686785671202e-05,-0.00165950629727642,0.0022331366973764146,0.0012086578360287448,-0.0018510596165904139,-0.002431626527410831,0.007041472676822385,-0.006444897984068721,-0.005966995731679931,-0.009251291903324665,3.2426527696681603e-06,-0.004392778464944263,0.0001751947028313051,-0.011153769879764448,-0.0005681032672986646,0.00011956995892374185,-2.2447394057674483e-06,8.409792349155336e-05,-0.03188278165439012,-0.002247822844514146,-0.01789368285178956,-0.002643461395882585,-0.01497436672676181,-0.005303574643357223,-0.008003962076560584,0.0003847588497592069,-0.012468241216283678,-0.0028983333232911407,0.0002326475989464352,8.998461471711705e-05,-0.0020471622053587126,0.007339645280783909,-0.01460713044599075,-0.0029692663475616304,-0.016742018343501537,-0.0061159895426520896,0.016470741128085144,-0.020207114892781167,-0.007426503610346149,0.003292534704630187,-0.001098376784538701,-0.00047959294075365297,0.00037084725565111556,0.00038901930100901843,-0.018581809415044784,9.625153928684537e-05
M1943,0.03223551716377939,0.04492446520322391,0.01961739919864992,0.09812015979530178,-0.0014212922795835475,-0.0038969797586693683,0.005707059611050275,0.004476935525738227,0.0032653031546101326,-6.537109492226e-05,0.00035223235415796756,-0.004679547273555689,-8.619357107253749e-05,0.004508220652673253,-0.0017280630450515063,0.0025948102020256743,0.005246743911245362,0.00036023016329898036,0.008145964818581798,0.00015123366883756651,0.005192921155804447,8.70531448400173e-05,-0.0010970420425420301,0.004298666607239271,0.010166079386120838,-0.00048193743865269803,0.0020062137304328216,0.006431184114939431,0.005285046670280697,0.007223550932015905,0.006625127875699726,-8.276615784479766e-05,0.003754658845976392,0.0002279158453033758,0.007644571613765295,-0.002916359941959942,0.006348056023258658,0.00010058030789087411,0.00015983168325122167,0.021950730896429214,0.0015514053281868812,0.00687483660714026,-0.0006431352641015013,0.005915523716255474,0.004072273169093871,0.0025554919937946356,-0.0215304857472382,0.0001139222653822334,-0.0002655235598847621,0.0002721287243712946,0.0001436762915392259,0.0007600139107303496,-0.0035641866533845344,-0.0017240921950384819,0.004128845220818856,8.692207639125045e-06,-0.008382639423081211,0.013604998652426963,-0.00990974963044123,0.00931537291532123,0.005021477993249582,0.0024232041160254934,0.007925135155818991,0.0015390003077174065,0.005698834777146222,-0.004905703474467159,-0.004369729057588989
M2772,-0.04525646807304194,-0.08148565355405842,-0.016680133380675657,-0.08601211014353466,-0.003703834175379903,0.011018705383655776,-0.002310998407925175,-0.0021164142235895124,-0.0020791063970477487,-0.0001053732308583365,-0.0008242006033597675,0.0008683100682902749,-0.00017608203946708058,-0.00423614308259146,-0.001943624855427204,0.0009451992622642412,-0.000950853667410489,0.00012081218632738342,-0.0024188597996643983,-0.00021043215030921511,-0.00966481207907203,-9.943301200071819e-05,-0.001206220525825373,-0.018574834228923354,-0.0015815474313880086,-0.0016842387747262571,-0.0013109302123032267,0.0028714052602286876,0.0018770665737269756,0.0032296452174824636,-0.0059412177335114,-0.0005920744324366087,-0.003388306132406012,6.616580645749954e-05,-0.0078611418277173,0.005084185002429646,-0.0036876829097780717,-0.00023224902831522039,-9.286990447408333e-05,0.0006269621416032943,-0.0024657055762488116,-0.006232548915083272,-0.0030453204317658117,-0.0010616602503709242,-0.005381277621335544,0.002288732637273421,0.002790122889239287,-0.0005788701746890617,-0.0013197951866112214,-0.00011028752243808006,7.828716214333094e-05,-0.0038583305396144713,-0.020595572778298557,0.011008934138484455,-0.0005033923401727054,0.006884131567851324,0.004832994728095026,-0.021541670137076516,-0.005792208022558578,0.0007475477947577768,0.0013157329463413955,-0.008688086307991599,0.0011233288514099415,0.0005391655082161574,-0.0014123317310484596,-0.003550940636323917,-0.0060690909374322335
M3038,-0.02897258743545274,-0.02602733616953617,-0.021793160391603155,-0.04658675336766934,-0.0018189873205457828,-0.014702422039857131,-0.004328987961732814,-0.003182441272467166,-0.00013618626344825895,-0.00020356364622931884,-0.003301971278332547,-0.002549617930154451,-0.00023874937849904449,0.002617130995283074,-0.004876589509429257,-0.005137460682584149,-0.007273350087614922,-0.00039947482002083805,-0.005924103397697684,-0.0004364275690766413,0.00022105359353664393,-0.00020527744426435227,-0.002392828827409619,-0.012638278138764964,-0.00813991840321488,0.0003441682167172262,-0.001318976487387174,-0.018417070537109167,-0.011997296359544149,-0.009137496065801092,0.0017231256454709556,-0.0010233101150430833,-0.0061135790117640655,-5.5352305894619145e-05,0.0014047958989640784,-0.014135473515211723,-0.009607187455506415,-0.0003000908201676407,-9.302510586218544e-05,-0.027472385019373477,-0.003559473083236472,-0.00564810223248065,0.0033914576529449018,-0.0011721983212723587,-0.007160368835669903,-0.0062122517780470645,-0.021712826570541407,0.0029897200182844156,-0.005575495768018563,-0.0005364643508378409,-2.9367281901084606e-06,0.0019205237405844813,-0.01027876231447945,-0.012708987345773397,0.0060356541884638674,-0.002035432177709206,-0.005306644615575139,-0.04929494839999154,-0.006030892138100849,0.0020845900843396727,-0.0015406807690361555,-0.0036542535040666752,0.0005209083218577444,-0.0015222014620299518,-0.002176552328496646,-0.005418564847424887,-0.005584874651198798
M3319,-0.018863536011008705,0.012847475689572145,-0.003906490861992178,0.008608774333732232,-0.0008147220949501517,0.048345845380468905,0.0055385422859322506,0.004412008559792594,0.004019036729522148,-7.546066613794447e-05,-0.00045653240217539254,-0.005734707129302812,-0.00010873985430036998,0.00262129464864236,0.019152604806202213,0.001256462209930548,0.001582386584785808,0.0005913491018912765,0.0028359594812054976,0.001966064361979266,0.004052862200228281,0.00015780251600876338,-0.0007383857213399637,0.017503532447459867,0.007931973935572907,0.00010386658502949747,0.003161414703927255,0.026037859425168078,0.0061767004686467675,0.00924510706238391,0.001534087361168886,4.645057695254873e-05,0.002004189343067709,0.00026060298103860736,0.006774047779974605,0.010778492466251552,0.0037656810210628107,6.077024414659351e-05,0.0010947421614235539,-0.0035756717664018915,0.0025810181578119896,0.005154860603994067,-0.0007272279796751841,0.003300723062975402,0.0015518731920306972,0.008435052297927794,0.011614792642039589,7.280927106111672e-05,0.00025010867197380253,0.00012322399426741294,0.00017048760496134454,0.010477642146413222,-0.00438035886837471,0.016562039420024044,0.01272544760809846,0.01560440989442957,0.012140763427000038,0.01973095532854253,-0.005735416607591468,0.0020113544919282108,0.009416923986248278,0.01374423771160732,0.0048624358543932775,0.0017100293264973527,0.0016223621454584558,-0.00782018602384394,-0.002511602305758724
M3566,0.002213539164618562,0.011533206117485165,0.01948458520838972,0.00013474445032419407,0.004628801523793729,0.032732425050548235,0.0005241582553690506,-0.0034924994086614775,-0.0003377675803466905,-7.230223714231684e-05,0.0028676030834491805,0.009541662328247802,-9.459701345404822e-05,-0.0013666675615571953,0.0025841632423621867,0.000918404101142656,0.004716872920906179,0.00041610044694169376,0.0008040489424714636,3.396276668513317e-05,0.0018877869663662084,0.0001888937208285438,-0.0006395717031353281,0.001498418283395114,0.005640971487856775,0.0002352904824283653,0.004622625651622109,0.01104350686894685,0.006355232007331192,0.0019950334616559004,-0.0026914002546667226,0.0001405660556921099,0.002528895774535574,0.00030260136614519993,-0.0020002115727957154,0.005845141322740288,0.0035725529152178725,0.00014311968577260047,0.0001130646741603378,0.01851601820386464,0.003433159063652091,-0.0029669773292755348,0.0008705139156833981,-0.00817207785641226,0.004621307198532901,-0.0006270076778441066,0.009592794166018494,0.0002726891222222609,0.0008001380901925363,-0.0027147584442184713,0.00020686784411144636,0.004833216053797907,0.033126947179902395,0.008521749956931933,0.0033282310997351807,0.002262181906520246,-0.004246970493781516,-0.003961964523470595,-0.0029836033507366906,-0.004569849882086898,0.00014048986819566013,-0.008007880115859591,-0.00018967241960405338,-0.00043798492349629055,-0.021515941865184098,-0.009904772145949769,0.0028026963628882957
