,milo_f1-score,meld_f1-score,cna_f1-score,daseq_f1-score,rra_f1-score,milo_precision,meld_precision,cna_precision,daseq_precision,rra_precision,milo_recall,meld_recall,cna_recall,daseq_recall,rra_recall
pos0.7_neg0.3_cond0_11_remove_0.h5ad,0.6471043025415597,0.7812712028737767,0.5745596838449859,0.5718815601101243,0.8308381709601628,0.8729605069825085,0.7494601465163552,0.6595521797477651,0.8977164545242363,0.7983683139881816,0.6278883904214445,0.9621995252878469,0.8197424212033471,0.5476524468288169,0.9267026602101716
pos0.7_neg0.3_cond0_11_remove_3.h5ad,0.6926762708598885,0.8625035776490653,0.5722133881021535,0.6048987767336594,0.8552031712319197,0.8897731595637502,0.814852764011127,0.6677269418770307,0.8914976272184658,0.818358711883973,0.6246143870587064,0.9752231896937742,0.8151161666413894,0.5479149442526774,0.9398930651954996
pos0.7_neg0.3_cond0_11_remove_6.h5ad,0.6051295031653655,0.9377641836404856,0.5679241652166721,0.5182608531205112,0.8361621993045761,0.8926059045613806,0.9068545190768909,0.6611957375119892,0.9043118927561186,0.7992724136177071,0.5377926842083286,0.9791139019302539,0.8134925629499622,0.48356927020257706,0.9390269593926247
pos0.7_neg0.3_cond0_11_remove_9.h5ad,0.504749703128809,0.8233748968237024,0.5642421121574674,0.588720753488719,0.7913188377628471,0.8712129859380662,0.7818858517365742,0.6410059526987141,0.9058238501918471,0.7661123360369425,0.4593747800684129,0.9557505953771573,0.807922000347296,0.5201083951908126,0.8969469066247866
pos0.7_neg0.3_cond1_2_remove_0.h5ad,0.7416781681944314,0.8682788708204124,0.7519898017924745,0.5837013892065612,0.9015244574837992,0.9262380243924083,0.8612329763988295,0.7104919009241071,0.9156775310161288,0.9502298540594166,0.6658859676221874,0.8791848146469882,0.8592030614786293,0.5253201713468828,0.8635330099158526
pos0.7_neg0.3_cond1_2_remove_3.h5ad,0.6537705502120643,0.8480772076356012,0.7276292724570954,0.4715863790749326,0.8868787422143533,0.9180640637482526,0.8521424082059128,0.6874386547270922,0.9105489273572251,0.9444448614623955,0.5925961739349213,0.8462578811236336,0.8419807722325391,0.4450398006048982,0.844178719834753
pos0.7_neg0.3_cond1_2_remove_6.h5ad,0.6460506368350311,0.8409205259350921,0.7003264558279092,0.6389067172647146,0.8866826523242376,0.9144003925535934,0.8428959364574071,0.6648878727972144,0.9160668029425086,0.9459460747596689,0.5881468750491837,0.8453406424112416,0.8281587344401059,0.5840879061155854,0.8430975103155031
pos0.7_neg0.3_cond1_2_remove_9.h5ad,0.5554167562393649,0.8275133182282529,0.6734011830342546,0.6116576335581952,0.8507097774177085,0.8998000505417485,0.8221416039206623,0.6412301685718719,0.9071089136550888,0.9131778874162929,0.5086544267577503,0.8400349993554584,0.805079728318907,0.5548915307224528,0.8072584422855261
pos0.7_neg0.3_cond1_3_remove_0.h5ad,0.6944578988699129,0.8988068332923606,0.6737702670176757,0.46035391012643423,0.9459711322616343,0.931500406316601,0.8809873197421195,0.6462118593163443,0.9276149230918612,0.9655370514002356,0.6160458396986657,0.9437965385201358,0.8747899775093376,0.4353277498932888,0.9302590938018542
pos0.7_neg0.3_cond1_3_remove_3.h5ad,0.6777935384490769,0.8856258444843611,0.6847449651501271,0.6781095155393985,0.9393521580638972,0.9344996587305845,0.8621697675475359,0.6485563839873333,0.9462834179141845,0.959816104101599,0.5942947499110558,0.9469573432775613,0.8792408396135766,0.5914198840022963,0.922896821149345
