,milo-f1,meld-f1,cna-f1,daseq-f1,rra-f1,milo-p,meld-p,cna-p,daseq-p,rra-p,milo-r,meld-r,cna-r,daseq-r,rra-r
c0_24_24_0,0.9014128682664356,0.7777923338921816,0.8461295506012435,0.936894113828235,0.9341014510679636,0.9419606370927514,0.7366290645084997,0.805183614863794,0.9539034203254532,0.9352730633660341,0.8682061502950918,0.88303171340971,0.9248949785292817,0.9218777471255093,0.9338886858271532
c1_2_24_0,0.6554822444503595,0.7653739348627292,0.6869749196868992,0.8009854952935825,0.8620947025700896,0.8971895817458537,0.7280546693387987,0.6517461311708322,0.8322786821665353,0.8453203991550219,0.6086931078554488,0.845847123594976,0.8607349967195829,0.7965589396908802,0.8853504573050625
c1_2_24_1,0.6779974397224878,0.7579752730849787,0.6881577832120471,0.8056823532171323,0.8659252614797563,0.8999200129417977,0.7162786534624125,0.6490828842564073,0.8060524362824076,0.8508440932485087,0.6219917299827767,0.8447787228837488,0.8611517704739665,0.8275735283044168,0.8872539574926505
c1_2_24_2,0.6562678131907836,0.7623382833506832,0.7117634587349647,0.808309181637315,0.8557660613836594,0.894819215550669,0.7406071219380784,0.6680135151025359,0.8380310395582921,0.8412880856369975,0.6102408645171726,0.830635448917731,0.8709409456583316,0.8078310328732354,0.8763209731655626
c1_2_24_3,0.6624389941082559,0.7716537273987328,0.6963622097687642,0.812440142940447,0.8586093343962405,0.9054866083995385,0.7491182652664267,0.6543090368269951,0.7963381641836809,0.8372957432762996,0.6113712695194714,0.8341779421269649,0.8637627767518641,0.8576930741335703,0.8875035189590559
c1_2_24_4,0.6510417247964949,0.7479022328384533,0.6888766818429235,0.7998253405154209,0.8547935598793766,0.8958805647311174,0.7141428409136749,0.6477438877932272,0.7874591216070869,0.8409470201904643,0.6040592734161345,0.8285975550746904,0.8570189121972994,0.8440081027341256,0.87431706568886
c2_6_24_0,0.858406078452216,0.6621413844405958,0.779416515202929,0.902427630425647,0.9210235400842998,0.938336034739048,0.628113538369494,0.724540099889142,0.940585608945966,0.9288971453589602,0.8060524922390867,0.8385326301129167,0.8954601407720443,0.8746580255782551,0.9135702659027501
c2_6_24_1,0.8643357223241592,0.7885314014166488,0.7768295958484933,0.9013874961811067,0.9234770602148695,0.9423670672522436,0.7437372945868576,0.7217626636681992,0.9265551855035999,0.9304435326483954,0.8129011851929331,0.8697843942342871,0.8973537210012732,0.8843045929214807,0.9167875587641857
c2_6_24_2,0.8453209255576942,0.7957765564691996,0.7595373138974401,0.9061556297266934,0.918287129440114,0.9306114592873543,0.7591097116927874,0.7054644555990879,0.9377406740841278,0.9257021919025581,0.7919414862375335,0.8594075336907484,0.888686373500945,0.8823491317943515,0.911330924612241
c2_6_24_3,0.8625785422258042,0.6219880313775251,0.7547076662482568,0.9060273544708016,0.9160284719570918,0.9342794964303375,0.6760412160639561,0.7011278799838047,0.9147276878743069,0.916696562834451,0.8136372156610218,0.7635154211307965,0.8876629176277703,0.9009733134413848,0.9153630506356735
