,gene_id,gene_name,gene_type,gene_chrom,gene_start,gene_end,n_cells,percent_cells,robust,highly_variable_features,ribosomal,mitochondrial,protein_coding,mitocarta_genes,robust_protein_coding,mean,bins,std
CSF2RA,ENSG00000198223,CSF2RA,protein_coding,X,1268800.0,1310381.0,791141.0,8.890245598989008,True,True,False,False,True,False,True,0.07194428963590087,"(0.214, 0.246]",0.262562823240565
HELZ2,ENSG00000130589,HELZ2,protein_coding,20,63558086.0,63574239.0,108928.0,1.2240506718861424,True,True,False,False,True,False,True,0.008062808788572412,"(0.027, 0.0314]",0.07654786597512121
COL4A2,ENSG00000134871,COL4A2,protein_coding,13,110305812.0,110513209.0,1803759.0,20.269282607508412,True,True,False,False,True,False,True,0.21658016869861932,"(0.484, 0.551]",0.49230999681484994
PIP,ENSG00000159763,PIP,protein_coding,7,143132077.0,143139739.0,180040.0,2.023153670005702,True,True,False,False,True,False,True,0.013201749714458193,"(0.0495, 0.0577]",0.09826158317160225
KCNK6,ENSG00000099337,KCNK6,protein_coding,19,38319845.0,38332076.0,342948.0,3.8537908510392995,True,True,False,False,True,False,True,0.026554067892352613,"(0.0773, 0.0894]",0.14248264717779857
PTK6,ENSG00000101213,PTK6,protein_coding,20,63528001.0,63537376.0,174796.0,1.9642255548895613,True,True,False,False,True,False,True,0.010878526857374844,"(0.0422, 0.0495]",0.08758757066088751
SGK1,ENSG00000118515,SGK1,protein_coding,6,134169248.0,134318112.0,6235552.0,70.07042831210505,True,True,False,False,True,False,True,0.9574308212825675,"(2.18, 7.959]",0.8586859652615313
COL5A2,ENSG00000204262,COL5A2,protein_coding,2,189031898.0,189225312.0,1398759.0,15.718198202085679,True,True,False,False,True,False,True,0.21247656334414533,"(0.425, 0.484]",0.5880819282104218
PYHIN1,ENSG00000163564,PYHIN1,protein_coding,1,158930796.0,158977059.0,338473.0,3.8035041776707392,True,False,False,False,True,False,True,0.02311484114374371,"(0.0671, 0.0773]",0.12926083450616524
SV2B,ENSG00000185518,SV2B,protein_coding,15,91099950.0,91302565.0,3220969.0,36.19481922530879,True,True,False,False,True,False,True,0.7038156520087885,"(1.125, 1.352]",1.0615111661898453
C17orf64,ENSG00000141371,C17orf64,protein_coding,17,60392429.0,60431426.0,93492.0,1.050592551189586,True,True,False,False,True,False,True,0.0063787615967141114,"(0.0198, 0.023]",0.06812933349753177
FGFR3,ENSG00000068078,FGFR3,protein_coding,4,1793293.0,1808872.0,1346061.0,15.126017841599337,True,True,False,False,True,False,True,0.13149376488832518,"(0.425, 0.484]",0.3812033383234372
RPL12,ENSG00000197958,RPL12,protein_coding,9,127447674.0,127451406.0,1494213.0,16.790838228839313,True,False,True,False,True,False,False,0.11504684765906835,"(0.368, 0.425]",0.2934903707488949
PARP8,ENSG00000151883,PARP8,protein_coding,5,50665899.0,50846519.0,4114738.0,46.23832084987737,True,True,False,False,True,False,True,0.7154225554691357,"(1.352, 1.683]",0.9098273188669463
TLR3,ENSG00000164342,TLR3,protein_coding,4,186069155.0,186088073.0,86109.0,0.9676279680655464,True,True,False,False,True,False,True,0.0058588188856495485,"(0.023, 0.027]",0.06652480843206157
SGPP2,ENSG00000163082,SGPP2,protein_coding,2,222424543.0,222562621.0,1703465.0,19.142254312798617,True,False,False,False,True,False,True,0.23546411663122177,"(0.368, 0.425]",0.4994100143442541
SYNPO2,ENSG00000172403,SYNPO2,protein_coding,4,118850688.0,119061247.0,2344807.0,26.34917178129893,True,True,False,False,True,False,True,0.3972566026427827,"(0.63, 0.72]",0.723615397620397
FGFR1,ENSG00000077782,FGFR1,protein_coding,8,38400215.0,38468834.0,2361379.0,26.53539541282156,True,True,False,False,True,False,True,0.22515443857984316,"(0.63, 0.72]",0.451479011185288
TBX15,ENSG00000092607,TBX15,protein_coding,1,118883046.0,118989556.0,112582.0,1.2651115667439565,True,True,False,False,True,False,True,0.013524568430625416,"(0.0314, 0.0362]",0.12662690136573
ADAMTS3,ENSG00000156140,ADAMTS3,protein_coding,4,72280969.0,72569221.0,1325866.0,14.899081669827705,True,True,False,False,True,False,True,0.18418223450327273,"(0.368, 0.425]",0.5014775621892908
MOG,ENSG00000204655,MOG,protein_coding,6,29657002.0,29672372.0,3706628.0,41.65228861111917,True,True,False,False,True,False,True,0.44962238423839385,"(1.352, 1.683]",0.6733780110338707
CXCL12,ENSG00000107562,CXCL12,protein_coding,10,44370165.0,44386493.0,298894.0,3.3587452401837603,True,True,False,False,True,False,True,0.020726786367421337,"(0.0773, 0.0894]",0.13214210815635877
ACSBG1,ENSG00000103740,ACSBG1,protein_coding,15,78167468.0,78245688.0,1541402.0,17.321112604166455,True,True,False,False,True,False,True,0.18798852572329727,"(0.484, 0.551]",0.48767430347178736
JUNB,ENSG00000171223,JUNB,protein_coding,19,12791486.0,12793315.0,775001.0,8.708876457498828,True,True,False,False,True,False,True,0.06645664877161085,"(0.185, 0.214]",0.24247752648689763
SLC35F1,ENSG00000196376,SLC35F1,protein_coding,6,117907264.0,118317676.0,5071892.0,56.99409527700821,True,True,False,False,True,False,True,1.0955133702253166,"(1.683, 2.18]",1.2150417775991735
AKAP13,ENSG00000170776,AKAP13,protein_coding,15,85380571.0,85749358.0,3475069.0,39.05020329300735,True,True,False,False,True,False,True,0.44206558815111213,"(1.125, 1.352]",0.6648193923310148
RCSD1,ENSG00000198771,RCSD1,protein_coding,1,167630093.0,167708696.0,1173651.0,13.188604354342711,True,True,False,False,True,False,True,0.11326151799765874,"(0.324, 0.368]",0.3270738162674363
NETO2,ENSG00000171208,NETO2,protein_coding,16,47077703.0,47143945.0,2765760.0,31.079523963313537,True,True,False,False,True,False,True,0.3402234550148181,"(0.72, 0.825]",0.6102224272482407
BACE2,ENSG00000182240,BACE2,protein_coding,21,41167801.0,41282530.0,1373707.0,15.436682729185305,True,True,False,False,True,False,True,0.15978506502274595,"(0.324, 0.368]",0.40393541038540304
KAT2B,ENSG00000114166,KAT2B,protein_coding,3,20040446.0,20154404.0,5584656.0,62.75615020061854,True,True,False,False,True,False,True,0.7256432100499421,"(1.683, 2.18]",0.7117987111807005
CXCL16,ENSG00000161921,CXCL16,protein_coding,17,4733533.0,4739928.0,167849.0,1.8861604107797545,True,True,False,False,True,False,True,0.011888957986462322,"(0.0422, 0.0495]",0.09374032392274378
TBX3,ENSG00000135111,TBX3,protein_coding,12,114670255.0,114684175.0,64282.0,0.7223526117268747,True,True,False,False,True,False,True,0.008349048220188207,"(0.0198, 0.023]",0.09149064038221989
IFI16,ENSG00000163565,IFI16,protein_coding,1,158999968.0,159055155.0,1763243.0,19.813994371039012,True,True,False,False,True,False,True,0.17456136068456138,"(0.551, 0.63]",0.39267528356611864
DAB1,ENSG00000173406,DAB1,protein_coding,1,56994778.0,58546734.0,5678173.0,63.80702368294426,True,True,False,False,True,False,True,1.297535007398601,"(2.18, 7.959]",1.3385528108237585
GHR,ENSG00000112964,GHR,protein_coding,5,42423439.0,42721878.0,2346666.0,26.37006182058209,True,True,False,False,True,False,True,0.3495304940797569,"(0.72, 0.825]",0.7013947124352198
RUNX3,ENSG00000020633,RUNX3,protein_coding,1,24899511.0,24965121.0,59973.0,0.6739313211022658,True,True,False,False,True,False,True,0.00519727397580198,"(0.0146, 0.017]",0.06885997215845206
CLDND1,ENSG00000080822,CLDND1,protein_coding,3,98497912.0,98523066.0,4830526.0,54.2818062928125,True,True,False,False,True,False,True,0.6073847148300239,"(1.683, 2.18]",0.6851648185631851
EMB,ENSG00000170571,EMB,protein_coding,5,50396192.0,50443248.0,1416521.0,15.917794155688439,True,False,False,False,True,False,True,0.1711327787407778,"(0.324, 0.368]",0.41257555733568296
NES,ENSG00000132688,NES,protein_coding,1,156668763.0,156677407.0,264258.0,2.96953200693383,True,True,False,False,True,False,True,0.020718576107843244,"(0.0577, 0.0671]",0.12389359003444897
LRRK2,ENSG00000188906,LRRK2,protein_coding,12,40196744.0,40369285.0,3307565.0,37.16791973190629,True,True,False,False,True,False,True,0.45978371590018374,"(0.96, 1.125]",0.6770145050318737
HSP90AA1,ENSG00000080824,HSP90AA1,protein_coding,14,102080742.0,102139699.0,7346010.0,82.54891741501102,True,False,False,False,True,False,True,1.1089382311535845,"(2.18, 7.959]",0.7359064761910761
